F,C,20200828,99991231,Y,INVOL MANSLATER-1ST DEG,Y,Y,Y,N,HOMCID,9,565024,INVOLUNTARY MANSLAUGHTER 1ST DEGREE,N,*,F,565.024-001Y202009,Y
F,B,20200828,99991231,Y,VIOL EMP DOC TO INMATE,Y,Y,Y,N,FELAST,13,217385,VIOLENCE TO AN EMPLOYEE OF DEPARTMENT OF CORRECTIONS OR TO AN INMATE BY AN INMATE,N,N,F,217.385-001Y202013,N
F,A,20200828,99991231,Y,MURDER 1ST DEGREE,Y,Y,Y,N,HOMCID,9,565020,MURDER 1ST DEGREE,,N,F,565.020-001Y202009,Y
F,A,20200828,99991231,Y,MURDER 2ND DEGREE,Y,Y,Y,N,HOMCID,9,565021,MURDER 2ND DEGREE,,*,F,565.021-001Y202009,Y
F,A,20200828,99991231,Y,MURDER 2ND DEGR VEHICULAR-INTOXICATED,Y,Y,Y,N,HOMCID,9,565021,MURDER 2ND DEGREE - VEHICULAR - INTOXICATED,N,Y,F,565.021-002Y202009,Y
F,A,20200828,99991231,Y,MURDER 2ND DEGREE - FELONY MURDER,Y,N,Y,N,HOMCID,9,565021,"MURDER 2ND DEGREE - FELONY MURDER - DURING PERPETRATION/ATTEMPTED PERPETRATION/FLIGHT FROM PERPETRATION OF A FELONY, A PERSON DIES",N,*,F,565.021-003Y202009,Y
F,B,20200828,99991231,Y,VOLUNTARY MANSLAUGHTER,Y,Y,Y,N,HOMCID,9,565023,VOLUNTARY MANSLAUGHTER,,*,F,565.023-001Y202009,Y
F,A,20200828,99991231,Y,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,Y,N,Y,N,FELAST,13,565050,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,N,*,F,565.050-001Y202013,Y
F,B,20200828,99991231,Y,DOMESTIC ASSLT 1ST DEGREE,Y,Y,Y,N,FELAST,13,565072,DOMESTIC ASSAULT 1ST DEGREE - 1ST OFFENSE,N,N,F,565.072-002Y202013,Y
F,B,20200828,99991231,Y,ASSAULT 1ST DEGREE OR ATTEMPT,Y,N,Y,N,FELAST,13,565050,ASSAULT 1ST DEGREE OR ATTEMPT,N,*,F,565.050-002Y202013,Y
F,C,20200828,99991231,Y,THEFT/STEAL ANY LIVESTOCK ANIMAL,Y,Y,Y,N,FELSTL,23,570030,THEFT/STEALING OF ANY LIVESTOCK ANIMAL,N,N,F,570.030-014Y202023,N
F,D,20200828,99991231,Y,MISUSE INSTITUTION FUNDS,Y,Y,Y,N,FELSTL,23,570217,MISAPPLICATION OF FUNDS OF FINANCIAL INSTITUTION,N,N,F,570.217-002Y202023,N
F,D,20200828,99991231,Y,FALSE ENTRY INSTITUT REC,Y,Y,Y,N,FELSTL,23,570219,MAKING FALSE ENTRIES IN RECORDS OF FINANCIAL INSTITUTION,N,N,F,570.219-001Y202023,N
F,A,20200828,99991231,Y,KIDNAPPING - 1ST DEGREE,Y,Y,Y,N,FELKNP,10,565110,KIDNAPPING - 1ST DEGREE,N,N,F,565.110-001Y202010,Y
F,B,20200828,99991231,Y,KIDNAPPING - FACILITATING A FELONY - INFLICTING INJURY - TERRORIZING - 1ST DEGRE,Y,Y,Y,N,FELKNP,10,565110,KIDNAPPING - FACILITATING A FELONY - INFLICTING INJURY - TERRORIZING - 1ST DEGREE,N,N,F,565.110-002Y202010,Y
F,A,20200828,99991231,Y,CHILD KIDNAPPING,Y,Y,Y,N,FELKNP,10,565115,CHILD KIDNAPPING,N,N,F,565.115-001Y202010,Y
F,B,20200828,99991231,Y,PARENTAL KIDNAP - CONCEALS CHILD FOR 120 DAYS OR MORE,Y,Y,Y,N,FELKNP,10,565153,PARENTAL KIDNAPPING - DETAINS/CONCEALS WHEREABOUTS OF CHILD FOR 120 DAYS OR MORE,N,N,F,565.153-001Y202010,Y
F,B,20200828,99991231,Y,ARSON 1ST DEGREE,Y,Y,Y,N,FELARS,20,569040,ARSON 1ST DEGREE,N,N,F,569.040-001Y202020,N
F,A,20200828,99991231,Y,ARSON 1ST PHY INJ/DEATH,Y,Y,Y,N,FELARS,20,569040,ARSON 1ST DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH,N,N,F,569.040-002Y202020,N
F,A,20200828,99991231,Y,ARSON CAUSING INJURY/DEATH IN ATTEMPT TO MANUF METH,Y,Y,Y,N,FELARS,20,569040,ARSON 1ST DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH AS A RESULT OF FIRE OR EXPLOSION IN AN ATTEMPT TO PRODUCE METHAMPHETAMINE,N,N,F,569.040-003Y202020,N
F,B,20200828,99991231,Y,ARSON 2ND PHY INJ/DEATH,Y,Y,Y,N,FELARS,20,569050,ARSON 2ND DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH,,N,F,569.050-002Y202020,N
F,A,20200828,99991231,Y,DOM ASSLT 1ST DEG SER INJ,Y,N,Y,N,FELAST,13,565072,DOMESTIC ASSAULT 1ST DEGREE - SERIOUS PHYSICAL INJURY,N,N,F,565.072-001Y202013,Y
M,U,20200828,99991231,N,COLLECT WORKERS COMP INSURANCE COSTS FROM EMPLOYEE,Y,Y,Y,N,MISFRD,26,287290,COLLECT WORKERS COMPENSATION INSURANCE COSTS FROM AN EMPLOYEE,N,N,M,287.290-001N202026,N
M,B,20200828,99991231,Y,"UNLAWFUL USE OF WEAPON - SUBSECT 8 - CARRY IN CHURCH, ELECTION PRECINCT, GOV BLD",Y,Y,Y,N,MISWEA,52,571030,"UNLAWFUL USE OF WEAPON - SUBSECTION 8 - CARRY INTO CHURCH, ELECTION PRECINCT, GOVERNMENT BUILDING",N,N,M,571.030-014Y202052,N
F,A,20200828,99991231,Y,"UNLAW USE WEAPON - SUBSECT 9 - SHOOT AT/FROM MV, AT PERSON, MV, BLDG - DEATH/INJ",Y,Y,Y,N,FELWEA,52,571030,"UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MOTOR VEHICLE, AT PERSON, MOTOR VEHICLE OR BUILDING, RESULTING IN DEATH OR INJURY",N,*,M,571.030-015Y202052,N
F,B,20200828,99991231,Y,"UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MV, AT PERSON, MV, BLDG",Y,Y,Y,N,FELWEA,52,571030,"UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MOTOR VEHICLE, AT PERSON, MOTOR VEHICLE OR BUILDING",N,*,F,571.030-020Y202052,N
M,U,20200828,99991231,N,TRANS BUSINESS W/O AUTH,Y,Y,Y,N,MISFRD,26,351574,TRANSACTING BUSINESS WITHOUT AUTHORITY,,N,M,351.574-001N202026,N
I,,20200828,99991231,N,REP OF A FALSIFIED PROXY,Y,Y,Y,N,MISFRD,26,351265,REPRESENTATION OF A FALSIFIED PROXY,N,N,IN,351.265-001N202026,N
I,,20200828,99991231,N,PRAC OCP EXP LIC/LIC COS,Y,Y,Y,N,MISFRD,26,329060,PRACTICING AN OCCUPATION BEYOND THE EXPIRATION OF A TEMPORARY LICENSE WITHOUT BEING LICENSED IN COSMETOLOGY,,N,IN,329.060-001N202026,N
I,,20200828,99991231,N,ENGAGE IN PRACTICE/BUSINESS W/O COSMETOLOGY LICENSE,Y,Y,Y,N,MISFRD,26,329255,ENGAGE IN PRACTICE/BUSINESS OR OFFER TO ENGAGE/ENGAGING IN PERFORMANCE OF ANY ACTS WITHOUT A COSMETOLOGY LICENSE,N,N,IN,329.255-001N202026,N
M,U,20200828,99991231,N,DBT ADJST W/O DBT MGMT/STLMT PLN,Y,Y,Y,N,MISFRD,26,425020,ACT/OFFER TO ACT AS DEBT ADJUSTER OTHER THAN UNDER DEBT MANAGEMENT/SETTLEMENT PLAN,,N,M,425.020-001N202026,N
F,B,20200828,99991231,Y,MONEY LAUNDERING/ATMPT LAUNDERING,Y,N,Y,N,FELFRD,26,574105,MONEY LAUNDERING OR ATTEMPTED MONEY LAUNDERING,N,N,F,574.105-001Y202026,N
M,U,20200828,99991231,N,MAKE FALSE STATEMENT REG UNEMPL BENEFITS,Y,Y,Y,N,MISFRD,26,288380,MAKING FALSE STATEMENT REGARDING UNEMPLOYMENT BENEFITS,N,N,M,288.380-001N202026,N
M,B,20200828,99991231,N,POSS FRAUDLNT DOC/COPY/MOBILE IMAGE AS INS ID CARD,Y,Y,Y,N,MISFRD,26,303024,POSSESS FRAUDULENT DOCUMENT/PHOTOCOPY/MOBILE IMAGE AS INSURANCE IDENTIFICATION CARD,Y,N,M,303.024-002N202026,N
