"MISSOURI STATE HIGHWAY PATROL CHARGE CODE MANUALAUGUST 2021 - AUGUST 2022",,,,,,,,,,
CHARGE CODE,NCIC MOD,"STATEMOD",DESCRIPTION,"TYPE/CLASS",DNA,SOR,ROC,"CASETYPE","EFFECTIVEDATE",
8.172-001N199554    .0,"05, 99",0,"EXCEEDED SPEED LIMIT ON CAPITOL/STATE GROUNDS SET BY THECOMMISSIONER OF ADMINISTRATION",I,N,N,N,I,8/28/1995,
21.360-001Y20205099._,99,0 1 2,"RECORD VOTE OF MEMBER OF HOUSE OF REPRESENTATIVES BY OTHERTHAN THE MEMBER",F / UN,C,N,N,F,8/28/2020,
29.080-001Y20207399._,99,0 1 2,"STATE AUDITOR EXAMINER - VIOLATE OATH OF OFFICE OR ANY DUTYIMPOSED BY CHAPTER 29",F / UN,C,N,N,F,8/28/2020,
29.250-001Y20207399._,99,0 1 2,MAKE FALSE/MISLEADING/UNFOUNDED REPORT TO AUDITOR,M / A,N,N,N,M,8/28/2020,
29.250-002Y20207399._,99,0 1 2,"REFUSE OR FAIL TO COMPLY WITH STATE AUDITOR CHAPTERPROVISIONS",M / A,N,N,N,M,8/28/2020,
30.400-001Y20207399._,99,0 1 2,"VIOLATION OF PROVISIONS OF SECTION 30.400 REGARDING STATETREASURER'S HANDLING OF STATE MONEY OR BONDS",F / UN,C,N,N,F,8/28/2020,
30.756-001Y202026    ._,"07, 99",0 1 2,"FALSE STATEMENT ON LOAN APPLICATION BY FARMING OPERATION,SMALL BUSINESS OR JOB ENHANCEMENT BUSINESS",M / A,N,N,N,M,8/28/2020,
32.057-002Y20206199._,99,0 1 2,BREACH OF CONFIDENTIALITY REGARDING TAXES,F / E,C,N,N,F,8/28/2020,
34.160-001Y20207399._,99,0 1 2,"ACCEPTANCE OF GIFT/REBATE/THING OF VALUE FROM BIDDER BYCOMMISSIONER OF ADMINISTRATION",F / UN,C,N,N,F,8/28/2020,
37.725-001Y20207399._,99,0 1 2,KNOWINGLY/WILLFULLY DISCLOSE CONFIDENTIAL INFORMATION FROM EXAMINATION FROM CHILD ADVOCACY TO UNAUTHORIZED PERSON(S),M / A,N,N,N,M,8/28/2020,
37.730-001Y20207399._,99,0 1 2,KNOWINGLY/WILLFULLY VIOLATE PROVISIONS OF SECTION 37.730,M / A,N,N,N,M,8/28/2020,
41.720-001Y202048    ._,"13, 99",0 1,"RESIST/AID IN RESISTING A FORCE ORDERED BY THE GOVERNOR TOEXECUTE LAWS/SUPPRESS INSURRECTION/REPEL INVASION",F / UN,C,N,N,F,8/28/2020,
43.170-001Y202048    ._,"01, 99",0 1 2,"PERSON WILLFULLY RESISTS/OPPOSES A MEMBER OF THE PATROL INTHE PROPER DISCHARGE OF THEIR DUTIES",M / A,N,N,N,M,8/28/2020,
43.170-002Y202048    ._,"01, 99",0 1 2,"FAILED TO STOP OR OBEY REASONABLE SIGNAL DIRECTION OF AHIGHWAY PATROLMAN",M / A,N,N,Y,M,8/28/2020,
43.405-001Y202048    ._,"03, 99",0 1 2,MAKE FALSE REPORT OR FALSE STATEMENT OF MISSING PERSON(S),M / A,N,N,N,M,8/28/2020,
43.532-001Y20207399._,99,0 1 2,"OBTAIN CRIMINAL HISTORY RECORD INFORMATION UNDER FALSEPRETENSE",M / A,N,N,N,M,8/28/2020,
43.532-002Y20207399._,99,0 1 2,"PROVIDER/YOUTH SERVICES AGENCY DISCLOSED CONFIDENTIALINFORMATION",M / A,N,N,N,M,8/28/2020,
43.535-001Y20207399._,99,0 1 2,DISCLOSURE OF CONFIDENTIAL CRIMINAL RECORDS,M / A,N,N,N,M,8/28/2020,
43.540-001Y20207399._,99,0 1 2,"AUTHORIZED STATE AGENCY/QUALIFIED ENTITY DISCLOSEDCONFIDENTIAL CRIMINAL HISTORY INFORMATION",M / A,N,N,N,M,8/28/2020,
43.600-001N202048    ._,"03, 99",0 1 2,"FILING FALSE REPORT ON HIGHWAY PATROL EMERGENCY TELEPHONESYSTEM",M / B,N,N,N,M,8/28/2020,
49.266-001N20205599._,99,0 1 2,VIOLATE BURN BAN,M / UN,N,N,N,M,8/28/2020,
50.800-001Y20202699._,99,0 1 2,"FALSELY CERTIFYING FACT(S) COVERED BY COUNTY FINANCIALSTATEMENT (2ND, 3RD, AND 4TH CLASS COUNTIES)",M / UN,N,N,N,M,8/28/2020,
50.800-002Y202026    ._,"07, 99",0 1 2,"WILLFULLY/KNOWINGLY MAKING A FALSE REPORT OF RECORD CONTAINED IN COUNTY FINANCE STATEMENT (2ND/3RD/4TH CLASSCOUNTIES)",F / UN,C,N,N,F,8/28/2020,
CHARGE CODE,NCIC MOD,"STATEMOD",DESCRIPTION,"TYPE/CLASS",DNA,SOR,ROC,"CASETYPE","EFFECTIVEDATE",
50.815-001Y20202699._,99,0 1 2,"FALSELY CERTIFYING FACT/S COVERED BY COUNTY FINANCIALSTATEMENT (1ST CLASS, NONCHARTER COUNTIES)",M / UN,N,N,N,M,8/28/2020,
50.815-002Y202026    ._,"07, 99",0 1 2,"WILLFULLY/KNOWINGLY MAKE FALSE REPORT OF RECORD CONTAINED IN COUNTY FINANCE STATEMENT (1ST CLASS, NON CHARTER COUNTY)",F / UN,C,N,N,F,8/28/2020,
58.452-001Y20205599._,99,0 1 2,"FAILURE BY A CORONER OR MEDICAL EXAMINER TO PROPERLY REFERA SUSPICIOUS DEATH OF A CHILD UNDER 18 YEARS",M / A,N,N,N,M,8/28/2020,
59.660-001N20205099._,99,0 1 2,"WILLFULLY NEGLECT/REFUSE TO PERFORM ANY OF THE DUTIESREQUIRED OF RECORDER",M / UN,N,N,N,M,8/28/2020,
60.355-001N202029    ._,"03, 06, 99",0 1 2,"KNOWINGLY MOVE/REMOVE/DEFACE OR DESTROY BOUNDARYMARKER, BENCH MARK OR HORIZONTAL CONTROL MONUMENT",M / B,N,N,N,M,8/28/2020,
64.295-001Y20205599._,99,0 1 2,"VIOLATION OR ZONING REGULATIONS, RESTRICTIONS OR ORDERS (NON-CHARTER 1ST CLASS COUNTY)",M / A,N,N,N,M,8/28/2020,
64.463-001N20205599._,99,0 1 2,DUMPING IN AN UNLICENSED AREA,M / UN,N,N,N,M,8/28/2020
64.690-001Y20205599._,99,0 1 2,"VIOLATION OF ZONING REGULATIONS, RESTRICTIONS OR ORDERS (2NDAND 3RD CLASS COUNTIES)",M / A,N,N,N,M,8/28/2020
64.895-001Y20205599._,99,0 1 2,"VIOLATION OF ZONING REGULATIONS, RESTRICTIONS OR ORDERS(UNINCORPORATED AREA)",M / A,N,N,N,M,8/28/2020
66.380-001N202061    ._,"02, 99",0 1 2,FAILURE TO PAY COUNTY CIGARETTE TAX OR AFFIX STAMPS,M / UN,N,N,N,M,8/28/2020
67.1222-001Y20205599._,99,0 1 2,VIOLATION OF AIRPORT ZONING REGULATIONS,M / A,N,N,N,M,8/28/2020
67.1663-001Y20202699._,99,0 1 2,"VIOLATION OF PROVISIONS IN SECTIONS 67.1600-67.1663 DEALING WITHHOME EQUITY PROGRAMS",M / A,N,N,N,M,8/28/2020
67.1819-001Y20207399._,99,0 1 2,"REGIONAL TAXI CAB COMMISSION DISCLOSED CONFIDENTIAL CRIMINALRECORD CHECK INFORMATION",M / A,N,N,N,M,8/28/2020
67.2546-001Y20207399._,99,0 1 2,"OBSCURED VIEWING ROOM OF SEXUALLY ORIENTED BUSINESS ORMORE THAN ONE INDIVIDUAL IN ROOM",M / A,N,N,N,M,8/28/2020
67.2552-001Y20207399._,99,0 1 2,"APPEAR NUDE OR DEPICT/SIMULATE/PERFORM PROHIBITED SEXUALACTIVITIES",M / A,N,N,N,M,8/28/2020
67.2552-002Y20207399._,99,0 1 2,"APPEAR SEMINUDE LESS THAN 10 FEET FROM CUSTOMER AND ON APROHIBITED STAGE",M / A,N,N,N,M,8/28/2020
67.2552-003Y20207399._,99,0 1 2,PROHIBITED TOUCHING OF CUSTOMER OR THEIR CLOTHING,M / A,N,N,N,M,8/28/2020
67.2552-004Y20207399._,99,0 1 2,"PERSON UNDER 21 YOA ON PREMISES OF SEXUALLY ORIENTEDBUSINESS",M / A,N,N,N,M,8/28/2020
70.441-001N20205599._,99,0 1 2,"VIOLATION OF RULES AND REGULATIONS OF RAPID TRANSIT CAR, BUSOR OTHER CONVEYANCE",M / UN,N,N,N,M,8/28/2020
77.460-001N20207399._,99,0 1 2,"CITY OFFICIAL KNOWINGLY/WILLFULLY ALLOWS ANY CLAIM OR DEMAND AGAINST CITY WHEN CONTRACT/AGREEMENT NOTAUTHORIZED BY LAW",M / UN,N,N,N,M,8/28/2020
79.360-001N20207399._,99,0 1 2,CITY OFFICIAL ALLOWING UNAUTHORIZED CLAIM AGAINST CITY,M / UN,N,N,N,M,8/28/2020
82.817-001N20205099._,99,0 1 2,VIOLATION OF SERVICE OF PROCESS - AGENTS IN ST LOUIS CITY,M / B,N,N,N,M,8/28/2020
84.340-001N20207399._,99,0 1 2,"SERVING WITHOUT LICENSE AS PRIVATEWATCHMAN/DETECTIVE/POLICEMAN",M / UN,N,N,N,M,8/28/2020
84.720-001N20207399._,99,0 1 2,"VIOLATIONS OF LICENSING REGULATIONS AND PROCEDURES FORPRIVATE SECURITY PERSONNEL AND ORGANIZATIONS",M / B,N,N,N,M,8/28/2020
CHARGE CODE,NCIC MOD,"STATEMOD",DESCRIPTION,"TYPE/CLASS",DNA,SOR,ROC,"CASETYPE","EFFECTIVEDATE"
92.920-001Y20207399._,99,0 1 2,"MEMBERS/EMPLOYEES OF LAND REUTILIZATION AUTHORITY - RECEIVECOMPENSATION, EMOLUMENT OR PROFIT FROM LANDS HELD BY THE AUTHORITY",F / UN,C,N,N,F,8/28/2020
105.452-001Y20207399._,99,0 1 2,COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLIC OFFICIAL AND EMPLOYEES - 2ND AND SUBSEQUENT OFFENSE,F / E,C,N,N,F,8/28/2020
105.452-002Y20207399._,99,0 1 2,"COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLICOFFICIALS AND EMPLOYEES - 1ST OFFENSE",M / B,N,N,N,M,8/28/2020
105.453-001Y20207399._,99,0 1 2,"ACCEPT/RECEIVE COMPENSATION AS PAID POLITICAL CONSULTANT -2ND OR SUBSEQUENT OFFENSE",F / E,C,N,N,F,8/28/2020
105.454-001Y20207399._,99,0 1 2,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST - 2ND OFFENSE,F / E,C,N,N,F,8/28/2020
105.454-002N20207399._,99,0 1 2,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST- 1ST OFFENSE,M / B,N,N,N,M,8/28/2020
105.455-001Y20207399._,99,0 1 2,"ELECTED/APPOINTED OFFICIAL VIOLATE REGISTRATION LIMITATION ASLOBBYIST - 2ND OR SUBSEQUENT",F / E,C,N,N,F,8/28/2020
105.455-003Y20207399._,99,0 1 2,"ELECTED/APPOINTED OFFICIAL VIOLATE REGISTRATION LIMITATION ASLOBBYIST-1ST OFFENSE",M / B,N,N,N,M,8/28/2020
105.456-001Y20207399._,99,0 1 2,COMMIT PROHIBITED ACTS BY MEMBERS OF GENERAL ASSEMBLY AND STATEWIDE ELECTED OFFICIALS - 2ND OR SUBSEQUENT OFFENSE,F / E,C,N,N,F,8/28/2020
105.456-003Y20207399._,99,0 1 2,"COMMIT PROHIBITED ACTS BY MEMBERS OF GENERAL ASSEMBLY ANDSTATEWIDE ELECTED OFFICIALS - 1ST OFFENSE",M / B,N,N,N,M,8/28/2020
105.458-001Y20207399._,99,0 1 2,COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OF POLITICAL SUBDIVISIONS - 2ND OR SUBSEQUENT OFFENSE,F / E,C,N,N,F,8/28/2020
105.458-002Y20207399._,99,0 1 2,"COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OFPOLITICAL SUBDIVISIONS - 1ST OFFENSE",M / B,N,N,N,M,8/28/2020
105.492-001N20205999._,99,0 1 2,"MISREPRESENTATION OR OMISSION OF FACTS IN FINANCIAL INTERESTSTATEMENT",M / B,N,N,N,M,8/28/2020
